"canonicalName","entityType","variants","earliestYear","latestYear","localCd","localNote","familySearch","comparisonStatus","filmAndCallNumbers","relatedBranches","relationshipNotes","notes","sourceUrls","nameSources","leadershipOfficers"
"Llanpumsaint","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 260; Llanpumsaint named among branches assigned to the Carmarthen Conference","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Llanpumsaint"",""collectionTitle"":""Zion's Trumpet, 1852"",""collectionBranch"":""Llanpumsaint"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 260; Llanpumsaint named among branches assigned to the Carmarthen Conference""}]",""
"Llansawel (Carmarthenshire)","Branch","Llansawel","1849","1855","true","false","false","Verified dedicated local source collection","CD 14; LR 221 7; CD 14; LR 221 7; photographed library identifier 318; 28 authoritative images; Film 104169 items 14-15; locality assignment requires the recovered CD 14 source","","","","https://www.familysearch.org/search/catalog/209087","[{""sourceName"":""Llansawel (Carmarthenshire)"",""collectionTitle"":""Llansawel Branch Record of Members, 1849-1855"",""filename"":""318__M_00002.jpg"",""viewerSequence"":2,""collectionBranch"":""Llansawel (Carmarthenshire)"",""lrContext"":""CD 14 / LR 221 7; photographed library identifier 318."",""note"":""Dedicated register. Member residences and the CD assignment support the Carmarthenshire identity; it is distinct from the later Glamorgan section in LR 11759 7.""}]",""
"Llansawel (Glamorgan)","Branch","Llansawel","1850","1889","true","false","false","Verified compound local source section","CD 18; LR 11759 7; CD 18; LR 11759 7; explicit images 00009-00048; 40 authoritative in-place images; Film 104169 items 14-15; locality assignment requires the recovered LR 11759 7 heading","","","","https://www.familysearch.org/search/catalog/209087","[{""sourceName"":""Llansawel (Glamorgan)"",""collectionTitle"":""Llansawel Branch Record, 1850-1889"",""filename"":""LR-11759-7_v1575_M_00009.jpg"",""viewerSequence"":1,""collectionBranch"":""Llansawel (Glamorgan)"",""lrContext"":""CD 18 / LR 11759 7 compound Swansea-related volume."",""note"":""The photographed heading explicitly identifies Glamorgan. The Llansawel section is images 00009-00048; Swansea resumes at image 00049.""}]",""
"Llantrisant","Branch","","1850","1851","false","false","false","Historically verified branch; no dedicated local membership register identified","Baptized by a priest of Llantrisant Branch and confirmed under Thomas Morgan, Branch President; Llantrisant is listed with branch-level distribution and membership figures","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=2759","[{""sourceName"":""Llantrisant"",""collectionTitle"":""Richard Jenkins journal"",""collectionBranch"":""Llantrisant"",""note"":""The journal directly identifies Llantrisant Branch, its priesthood activity, and its branch president in January 1851.""}]",""
"Llanybydder","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 59; explicit Llanybydder Branch report","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Llanybydder"",""collectionTitle"":""Prophet of the Jubilee"",""collectionBranch"":""Llanybydder"",""evidenceType"":""Explicit branch reference"",""note"":""PDF page 59; explicit Llanybydder Branch report""}]",""
"Machen","Branch","","1854","1865","false","true","false","Research note only","18 recovered PDF frames; photographed identifier unresolved as 1565 versus 1765; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[{""sourceName"":""Machen"",""collectionTitle"":""Machen Branch Record of Members, 1854-1865"",""collectionBranch"":""Machen"",""note"":""The local PDF is a documented direct-FHC fallback. The photographed/library identifier discrepancy 1565 versus 1765 remains unresolved.""}]",""
"Machynlleth","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 299; Machynlleth listed among represented Merionethshire branches","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Machynlleth"",""collectionTitle"":""Zion's Trumpet, 1849"",""collectionBranch"":""Machynlleth"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 299; Machynlleth listed among represented Merionethshire branches""}]",""
"Maesteg","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 203; William Evans explicitly identified as a member of Maesteg Branch","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Maesteg"",""collectionTitle"":""Zion's Trumpet, 1855"",""collectionBranch"":""Maesteg"",""evidenceType"":""Explicit branch reference"",""note"":""PDF page 203; William Evans explicitly identified as a member of Maesteg Branch""}]",""
"Merthyr Tydfil","Branch","","1843","1896","true","true","false","Local CD only / verify with FamilySearch","CD 29; LR 5450 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Morriston","Branch","","1853","1868","true","false","true","Contextual conference-minutes evidence; dedicated member register not recovered","CD 41; LR 17617 21; Western Glamorgan Conference Minutes, 1851-1870; Morriston fast-offerings report, 1866; Film 104172 Item 5 retained as legacy discovery metadata","","","Morriston is explicitly attested by a 1866 fast-offerings report in the enclosing conference minutes. This is contextual conference material, not a dedicated Record of Members.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
"Mountain Ash","Branch","","1862","1862","false","false","false","Historically verified branch; no dedicated local membership register identified","Journal entry dated 30 January 1862 states that the writer came to Mountain Ash Branch","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=181","[{""sourceName"":""Mountain Ash"",""collectionTitle"":""Thomas Evans Jeremy journal"",""collectionBranch"":""Mountain Ash"",""note"":""The dated journal entry explicitly identifies Mountain Ash Branch.""}]",""
"Nantyglo","Branch","Nanty Glo","1846","1867","true","true","false","Local CD only / verify with FamilySearch","CD 24; LR 174 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Newmarket","Branch","Trelawnyd","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF pages 117-118; Newmarket represented as a branch and Robert Parry set apart to preside; Modern name of historical Newmarket; historical source name remains canonical","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Newmarket"",""collectionTitle"":""Zion's Trumpet, 1849"",""collectionBranch"":""Newmarket"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF pages 117-118; Newmarket represented as a branch and Robert Parry set apart to preside"",""leadership"":""Branch president: Robert Parry""}]","Branch president: Robert Parry"
"Newport","Branch","","1848","1866","true","false","false","Local CD only / verify with FamilySearch","CD 28; LR 6071 7","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Overton","Branch","Owrtyn","1840","1842","false","false","false","Historically verified branch; no surviving local membership register identified","Overton: The First LDS Branch in Wales; organized 30 October 1840; earliest documented branch in Wales; Welsh spelling used in Welsh Saints person records for Overton, Flintshire; Opposition to the Gospel Message in Wales, PDF page 23; missionaries arrived 16 October and organized a branch 30 October 1840","","","Organized 30 October 1840 and documented as the first branch in Wales. Activity is documented through 1842; no surviving Overton membership register is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=24497","[{""sourceName"":""Overton"",""collectionTitle"":""Overton: The First LDS Branch in Wales"",""collectionBranch"":""Overton"",""note"":""Overton, historically in Flintshire and now in Wrexham County Borough, was organized on 30 October 1840 after the mission of Henry Royle and Frederick Cook. Contemporary journal references continue into 1842. The historical resource explicitly states that no Overton branch record is known to have survived.""}]",""
"Pembroke","Branch","","1856","1857","false","false","false","Historically verified branch; no dedicated local membership register identified","Pembroke Branch is explicitly named in a contribution list; PDF page 974","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Pembroke"",""collectionTitle"":""Zion's Trumpet, 1856-1857"",""collectionBranch"":""Pembroke"",""note"":""The periodical explicitly names Pembroke Branch in a branch contribution list.""}]",""
"Pen-y-cae","Branch","Pen-Y-Cae","1844","1866","true","true","false","Local CD only / verify with FamilySearch","CD 17; LR 230 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Pen-y-Darran","Branch","","","","true","false","false","Local CD only / verify with FamilySearch","CD 36; two-page baptism list","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Pencader","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 260; Pencader named among branches assigned to the Carmarthen Conference","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Pencader"",""collectionTitle"":""Zion's Trumpet, 1852"",""collectionBranch"":""Pencader"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 260; Pencader named among branches assigned to the Carmarthen Conference""}]",""
"Pendoylon","Branch","Pendoylan","1851","1886","false","false","false","Historical source attestation; local image collection not yet located","DGS 106248102; indexing images 195-239; no matching local image or PDF packet located; DGS 106248102; indexing images 195-239; WALES (Country), Part 5; Historical/source spelling in typed Cardiff conference records","","","","","[{""sourceName"":""Pendoylon"",""collectionTitle"":""Pendoylon Branch source attestation"",""collectionBranch"":""Pendoylon"",""note"":""The indexing map identifies images 195-239 and preserves Pendoylan as a source spelling. Project source CDs, recovered CD copies, Microfilm PDFs/direct-FHC holdings, manifests, catalogs, and typed sources yielded no matching authoritative local collection.""},{""sourceName"":""Pendoylon"",""collectionTitle"":""Wales Record of Members - List of Branches (2022 indexing project)"",""filename"":""Wales Indexing Branch List.pdf"",""collectionBranch"":""Pendoylon"",""note"":""The map identifies Pendoylon Branch, 1851-1886, as images 195-239. No matching local/original image collection was located during the 2026-08-11 recovery audit.""}]",""
"Pontlanfraith","Branch","","","","false","true","false","Research note only","10-page source packet; photographed library identifier 27560; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[{""sourceName"":""Pontlanfraith"",""collectionTitle"":""Pontlanfraith Branch Record of Members and Children"",""collectionBranch"":""Pontlanfraith"",""note"":""Mixed members-and-children record. Source spelling Pontrlanfraith is preserved where photographed; later children/index and post-1920 material are classified separately.""}]",""
"Pontypool","Branch","","1857","1884","true","false","false","Local CD only / verify with FamilySearch","CD 62; general minutes","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Pontypridd","Branch","","1877","1895","false","true","false","Research note only","Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Rhosllanerchrugog","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 89; Dan Jones explicitly says that he established a branch at Rhosllanerchrugog","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Rhosllanerchrugog"",""collectionTitle"":""A Steamboat for an Eldership"",""collectionBranch"":""Rhosllanerchrugog"",""evidenceType"":""Branch organization statement"",""note"":""PDF page 89; Dan Jones explicitly says that he established a branch at Rhosllanerchrugog""}]",""
"Rhymney","Branch","","1850","1887","true","false","false","Local CD only / verify with FamilySearch","CD 20; LR 12451 7","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Rhymney English","Branch","","1851","1887","false","false","true","Verified direct-FHC microfilm fallback source","Direct-FHC microfilm capture; photographed library identifier 1602; 57 authoritative images; source dates 1851-1887","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[{""sourceName"":""Rhymney English"",""collectionTitle"":""Rhymney English Branch Record of Members, 1851-1887"",""filename"":""FHC104171_003_frame-230.jpg"",""viewerSequence"":3,""collectionBranch"":""Rhymney English"",""lrContext"":""Photographed Historian's Office/library identifier 1602; local microfilm folder 0,104,171."",""note"":""A distinct English-language branch source. No matching recovered CD set was located; the locally created direct-FHC microfilm PDFs are the documented fallback and their embedded JPEGs were recovered losslessly.""}]",""
"St Clears","Branch","Saint Clears","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 260 (Saint Clears in branch list); PDF page 627 (St. Clears branch president referenced); Expanded source spelling retained as an alias of St Clears","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""St Clears"",""collectionTitle"":""Zion's Trumpet, 1852 and 1854"",""collectionBranch"":""St Clears"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 260 (Saint Clears in branch list); PDF page 627 (St. Clears branch president referenced)""}]",""
"Stepaside","Branch","","1848","1860","true","false","false","Local CD only / verify with FamilySearch","CD 44; LR 12727 11; membership records 1848-1857; historical record and general minutes 1858-1860","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Sutton Mountain","Branch","","1853","1859","true","false","true","Matched: FamilySearch and local CD","CD 56; LR 12770 11; membership register 1853-1859; historical record and branch minutes 1853-1855; Film 104171 item 6","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104171","[]",""
"Swansea","Branch","Abertawe; Abertawe (see Swansea)","1852","1879","true","true","false","Verified local source identity and collections","CD 32; LR 8863 7; CD 61; general minutes; Swansea / Abertawe source identity; Swansea Branch LR 8863 10; Wales2Utah research note","","Abertawe is the Welsh/historical source name for Swansea; the recovered LR 8863 10 description states that the branch was known as Abertawe until 1866.","","","[{""sourceName"":""Abertawe"",""collectionTitle"":""Swansea Branch, England Southwest Mission, Confidential Minutes, 1849-1881"",""collectionBranch"":""Swansea"",""lrContext"":""LR 8863 10; the recovered source description states that the branch was known as Abertawe until 1866."",""note"":""Abertawe is the Welsh/historical source name for Swansea. A Welsh heading in the source reads 'yn Nghangen Abertawe'. The separate Swansea membership volume is LR 8863 7, library number 1606, Record of Members 1872-1879.""}]",""
"Towyn","Branch","Tywyn","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 299 (1849); branch represented; PDF page 417 (1850); presiding appointment; Modern spelling retained as an alias of historical source form Towyn","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Towyn"",""collectionTitle"":""Zion's Trumpet, 1849 and 1850"",""collectionBranch"":""Towyn"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 299 (1849); branch represented; PDF page 417 (1850); presiding appointment"",""leadership"":""Branch president: John Evans""}]","Branch president: John Evans"
"Treboeth","Branch","","1844","1880","true","false","true","Matched: FamilySearch and local CD","CD 16; LR 228 7; Film 104172 Item 1","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
"Tredegar","Branch","","1844","1883","true","false","true","Matched: FamilySearch and local CD","CD 5; LR 164 7; Film 104172 Items 2-3","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
"Treforest","Branch","","1851","1873","true","false","true","Matched: FamilySearch and local CD","CD 30; LR 12886 7; Film 104172 Item 4","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
"Treorchy","Branch","Treorky","1874","1882","true","false","true","Verified compound local source section","CD 34; LR 172 7 compound logical sections; 68 authoritative full-resolution images; Treorky minutes 1874 and membership register 1875-1882","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168; https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[{""sourceName"":""Treorky"",""collectionTitle"":""Llanelltyd, 1850-1882, LR1727"",""filename"":""LR-1175710_v1574_M_00003.jpg"",""viewerSequence"":3,""collectionBranch"":""Llanelltyd"",""lrContext"":""Enclosing Llanelltyd collection: LR 172 7"",""internalPage"":25,""note"":""Historical spelling written throughout the compound source. Early minutes appear at images 00006-00025; the member register occupies images 00074-00109; later history and children-blessed material continue at 00112-00116. Not associated with Troedyrhiw.""}]",""
"Trinant","Branch","","1849","1853","false","false","true","FamilySearch only / locate local record","Photographed library identifier 859; compound PDF pages 4-5; Film 104172 Item 6","","","Needs human review; absence from one source is not proof the branch or record was absent.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[{""sourceName"":""Trinant"",""collectionTitle"":""Trinant Branch surviving Record of Members page, 1849-1853"",""collectionBranch"":""Trinant"",""note"":""The Library 859 label identifies a Trinant Record of Members dated 1849-1853. Compound PDF page 5 preserves the closing register leaf, entries 19-29; entries 1-18 are not currently recovered. Candidate captures 294-295 are later member/status pages and captures 296-306 are Stepaside financial records, so they are retained as context but excluded from Trinant.""}]",""
"Twyn-yr-Odyn","Branch","","1847","1901","true","false","true","Matched: FamilySearch and local CD","CD 33; LR 165 7; Film 104172 Items 9-10","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
"Twyncarno","Branch","Twyn Carno","1856","1857","false","false","true","FamilySearch only / locate local record","Captures 314-338; photographed library identifier 1602; 25 retained source frames; Film 104172 Items 7-8","","","Needs human review; absence from one source is not proof the branch or record was absent.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[{""sourceName"":""Twyn Carno"",""collectionTitle"":""Twyn Carno Branch Record, 1856-1857"",""collectionBranch"":""Twyncarno"",""note"":""The retained branch section begins with the printed/narrative source at capture 314; the regular register begins at capture 318. Earlier captures 308-312 belong to adjacent context, and captures 307 and 313 were not found.""}]",""
"Victoria","Branch","","1858","1858","false","false","false","Historically verified branch; no dedicated local membership register identified","Journal entry dated 31 March 1858 records a visit to Victoria Branch; 1846 Latter-day Saint meeting context at Victoria; contextual evidence only and not used to extend the verified branch date","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=4078; https://welshsaints.byu.edu/Resource_Info.aspx?id=24026","[{""sourceName"":""Victoria"",""collectionTitle"":""David John journal"",""collectionBranch"":""Victoria"",""note"":""The dated journal entry explicitly identifies Victoria Branch. A separate 1846 license documents earlier Latter-day Saint activity at Victoria but is not used to extend the branch date.""}]",""
"Welsh Conference","Conference","","1850","1922","true","true","true","Verified local direct-FHC conference sources; Library 3118 incomplete","Film 104172 item 11 context; Library 1614 early-1892; Library 3114 1887-1901; Library 3118 early-1911 partial capture; LR1001123 incomplete minutes, 1884; Wales2Utah research note; Film 104172 Item 11","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[{""sourceName"":""Welsh Conference"",""collectionTitle"":""Welsh Conference records and minutes"",""collectionBranch"":""Welsh Conference"",""note"":""Three distinct member books and a separate 1884 minutes fragment survive locally. Library 3118 is incomplete after direct-FHC component 474. The Film 86987 convenience PDF includes Bristol Conference material and is not treated as a single Welsh Conference source.""}]",""
"Ynysgau","Branch","","1850","1850","false","false","false","Historically verified branch; no dedicated local membership register identified","Special conference on 8 March 1850 appointed John Argust president of Ynysgau Branch, Merthyr","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=571","[{""sourceName"":""Ynysgau"",""collectionTitle"":""Merthyr special conference record"",""collectionBranch"":""Ynysgau"",""note"":""The conference record explicitly appoints a president of Ynysgau Branch in Merthyr.""}]",""
"Ystrad","Branch","","1885","1911","false","false","true","FamilySearch only / locate local record","Film 104172 Item 12","","","Needs human review; absence from one source is not proof the branch or record was absent.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104172","[]",""
